Type,Address,Name
A,10.0.X.40,dc.f-sportsX.co
CNAME,ns1,dc.f-sportsX.co
A,10.0.X.2,weedle.f-sportsX.co
A,10.0.X.3,pidgy.f-sportsX.co
A,10.0.X.4,spearow.f-sportsX.co
A,10.0.X.5,ekans.f-sportsX.co
A,10.0.X.6,sandshrew.f-sportsX.co
A,10.0.X.7,clefairy.f-sportsX.co
A,10.0.X.8,rattata.f-sportsX.co
A,10.0.X.12,magikarp.f-sportsX.co
A,10.0.X.20,mail.f-sportsX.co
A,10.0.X.22,voltorb.f-sportsX.co
A,10.0.X.30,esxi.f-sportsX.co
A,10.0.X.37,foreman.f-sportsX.co
A,10.0.X.182,vcenter.f-sportsX.co
A,10.1.X.2,meowth.f-sportsX.co
A,10.1.X.21,diglett.f-sportsX.co
MX,10.0.X.20,mail.f-sportsX.co
CNAME,caterpie,dc.f-sportsX.co
CNAME,machop,foreman.f-sportsX.co
CNAME,gitlab,diglett.f-sportsX.co
CNAME,jenkins,diglett.f-sportsX.co

